acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6230.0,14821.0,-727.0,-0.09,0.04,0.6
-6127.0,14882.0,-950.0,-0.09,0.04,0.59
-6321.0,14602.0,-1035.0,-0.1,0.02,0.59
-7001.0,13978.0,-1117.0,-0.14,-0.02,0.58
-6571.0,14451.0,-1347.0,-0.11,0.01,0.57
-6496.0,14670.0,-1259.0,-0.11,0.03,0.57
-7195.0,13867.0,-1764.0,-0.15,-0.02,0.54
-6855.0,13932.0,-1975.0,-0.13,-0.02,0.53
-6094.0,14927.0,-753.0,-0.08,0.04,0.6
-6244.0,14556.0,-1152.0,-0.09,0.02,0.58
-7009.0,14287.0,-1187.0,-0.14,0.0,0.58
-7055.0,14291.0,-1250.0,-0.14,0.0,0.57
-7073.0,14284.0,-1279.0,-0.14,0.0,0.57
-7100.0,14287.0,-1322.0,-0.15,0.0,0.57
-7112.0,14263.0,-1282.0,-0.15,0.0,0.57
-7165.0,14272.0,-1215.0,-0.15,0.0,0.57
-7130.0,14261.0,-1137.0,-0.15,0.0,0.58
-7042.0,14258.0,-1053.0,-0.14,0.0,0.58
-7010.0,14315.0,-1090.0,-0.14,0.01,0.58
-7094.0,14320.0,-1127.0,-0.14,0.01,0.58
