acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6473.0,14433.0,-1933.0,-0.11,0.01,0.53
-5988.0,14666.0,-1532.0,-0.08,0.03,0.55
-6520.0,14471.0,-1520.0,-0.11,0.01,0.56
-6516.0,14615.0,-1481.0,-0.11,0.02,0.56
-6997.0,14241.0,-1692.0,-0.14,0.0,0.54
-6540.0,14485.0,-1610.0,-0.11,0.02,0.55
-7082.0,14250.0,-1527.0,-0.14,0.0,0.56
-6576.0,14428.0,-1424.0,-0.11,0.01,0.56
-6297.0,14588.0,-1341.0,-0.1,0.02,0.57
-6420.0,14610.0,-1060.0,-0.1,0.02,0.58
-6154.0,14699.0,-803.0,-0.09,0.03,0.6
-6154.0,14682.0,-834.0,-0.09,0.03,0.6
-6183.0,14688.0,-942.0,-0.09,0.03,0.59
-6163.0,14689.0,-984.0,-0.09,0.03,0.59
-6185.0,14670.0,-955.0,-0.09,0.03,0.59
-6154.0,14659.0,-908.0,-0.09,0.03,0.59
-6198.0,14675.0,-906.0,-0.09,0.03,0.59
-6169.0,14654.0,-893.0,-0.09,0.03,0.59
-6145.0,14661.0,-894.0,-0.09,0.03,0.59
-6152.0,14660.0,-892.0,-0.09,0.03,0.59
-5565.0,14703.0,-1147.0,-0.05,0.03,0.58
-6231.0,14741.0,-1071.0,-0.09,0.03,0.58
-6554.0,14557.0,-899.0,-0.11,0.02,0.59
-6667.0,14513.0,-604.0,-0.12,0.02,0.61
-6631.0,13988.0,-1364.0,-0.12,-0.01,0.56
-6547.0,14565.0,-525.0,-0.11,0.02,0.62
-6202.0,14373.0,-17.0,-0.09,0.01,0.65
-6150.0,14603.0,518.0,-0.09,0.02,0.68
-5875.0,14792.0,943.0,-0.07,0.03,0.71
-5684.0,14816.0,1018.0,-0.06,0.04,0.71
