acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-5721.0,14841.0,1212.0,0.01,0.04,0.79
-5637.0,14882.0,700.0,0.01,0.04,0.76
-5135.0,15261.0,240.0,0.04,0.06,0.73
-5135.0,15261.0,240.0,0.04,0.06,0.73
-5354.0,15031.0,422.0,0.03,0.05,0.74
-5547.0,14834.0,582.0,0.02,0.04,0.75
-5338.0,14990.0,43.0,0.03,0.05,0.72
-5459.0,14982.0,-144.0,0.02,0.05,0.7
-5628.0,14902.0,-101.0,0.01,0.04,0.71
-5823.0,14813.0,101.0,0.0,0.04,0.72
-5976.0,14921.0,-251.0,-0.01,0.04,0.7
-5845.0,14888.0,-237.0,0.0,0.04,0.7
-5940.0,14873.0,-307.0,-0.01,0.04,0.69
-6075.0,14837.0,-340.0,-0.01,0.04,0.69
-6286.0,14655.0,-217.0,-0.03,0.03,0.7
-6286.0,14610.0,-139.0,-0.03,0.02,0.71
-6181.0,14748.0,-81.0,-0.02,0.03,0.71
-6309.0,14677.0,-127.0,-0.03,0.03,0.71
-6259.0,14666.0,-90.0,-0.02,0.03,0.71
-6124.0,14711.0,-100.0,-0.02,0.03,0.71
