acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-5028.0,15049.0,-1616.0,-0.02,0.05,0.55
-5170.0,14902.0,-2086.0,-0.03,0.04,0.52
-5152.0,14942.0,-1896.0,-0.03,0.04,0.53
-5478.0,14745.0,-2179.0,-0.05,0.03,0.52
-5142.0,14888.0,-1933.0,-0.03,0.04,0.53
-4728.0,15045.0,-1666.0,-0.0,0.05,0.55
-4468.0,15127.0,-1514.0,0.02,0.05,0.56
-4271.0,15162.0,-1421.0,0.03,0.06,0.56
-4192.0,15197.0,-1357.0,0.03,0.06,0.57
-4164.0,15213.0,-1309.0,0.03,0.06,0.57
-5391.0,14724.0,-2420.0,-0.04,0.03,0.5
-5150.0,14441.0,-3553.0,-0.03,0.01,0.43
-6758.0,14036.0,-4767.0,-0.12,-0.01,0.36
-6467.0,14236.0,-3799.0,-0.11,0.0,0.42
-5838.0,14609.0,-2661.0,-0.07,0.02,0.49
-5431.0,14764.0,-2148.0,-0.04,0.03,0.52
-5017.0,14921.0,-1715.0,-0.02,0.04,0.54
-4758.0,15049.0,-1693.0,-0.0,0.05,0.54
-4659.0,15088.0,-1799.0,0.0,0.05,0.54
-4734.0,15133.0,-2212.0,-0.0,0.05,0.51
-3786.0,15338.0,-1252.0,0.06,0.07,0.57
-3873.0,15356.0,-1261.0,0.05,0.07,0.57
-4224.0,15260.0,-1291.0,0.03,0.06,0.57
-4948.0,15866.0,-1265.0,-0.01,0.1,0.57
-5373.0,16922.0,-1272.0,-0.04,0.16,0.57
