acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-674.0,15492.0,-1615.0,0.16,0.54,-0.0
-210.0,15671.0,-1544.0,0.19,0.55,0.0
16.0,16035.0,-757.0,0.2,0.57,0.05
-354.0,15723.0,-1431.0,0.18,0.55,0.01
-297.0,15870.0,-973.0,0.18,0.56,0.04
53.0,15893.0,-861.0,0.2,0.56,0.05
-67.0,15807.0,-1191.0,0.2,0.56,0.03
-243.0,15761.0,-1464.0,0.19,0.56,0.01
-470.0,15625.0,-2111.0,0.17,0.55,-0.03
-420.0,15658.0,-1879.0,0.17,0.55,-0.02
1016.0,15857.0,-192.0,0.26,0.56,0.09
1057.0,15814.0,-1001.0,0.26,0.56,0.04
1037.0,15726.0,-849.0,0.26,0.55,0.05
1201.0,15746.0,-706.0,0.27,0.55,0.05
1271.0,15798.0,-593.0,0.28,0.56,0.06
1774.0,15545.0,372.0,0.31,0.54,0.12
1205.0,15847.0,-612.0,0.27,0.56,0.06
1100.0,15756.0,-611.0,0.27,0.56,0.06
1210.0,15769.0,-517.0,0.27,0.56,0.07
1315.0,15795.0,-414.0,0.28,0.56,0.07
