acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6540.0,14320.0,-1339.0,-0.04,0.01,0.63
-4971.0,15350.0,-755.0,0.05,0.07,0.67
-6637.0,14331.0,-1477.0,-0.05,0.01,0.62
-6511.0,14397.0,-1330.0,-0.04,0.01,0.63
-6485.0,14537.0,-1327.0,-0.04,0.02,0.63
-6767.0,14339.0,-1507.0,-0.06,0.01,0.62
-6246.0,14576.0,-1310.0,-0.02,0.02,0.63
-5988.0,14698.0,-1238.0,-0.01,0.03,0.64
-5794.0,14782.0,-1163.0,0.0,0.03,0.64
-5695.0,14809.0,-1093.0,0.01,0.04,0.65
-5443.0,15205.0,526.0,0.03,0.06,0.75
-5117.0,15285.0,1294.0,0.05,0.06,0.79
-4962.0,15207.0,1607.0,0.05,0.06,0.81
-5030.0,15022.0,803.0,0.05,0.05,0.76
-5219.0,14998.0,129.0,0.04,0.05,0.72
-5399.0,14956.0,-484.0,0.03,0.04,0.68
-5489.0,14917.0,-789.0,0.02,0.04,0.67
-5536.0,14898.0,-873.0,0.02,0.04,0.66
-5512.0,14879.0,-869.0,0.02,0.04,0.66
-5503.0,14882.0,-869.0,0.02,0.04,0.66
