acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6509.0,14588.0,-1196.0,-0.11,0.02,0.58
-6612.0,14294.0,-1104.0,-0.12,0.0,0.58
-6175.0,14800.0,-1203.0,-0.09,0.03,0.57
-6607.0,14389.0,-1123.0,-0.12,0.01,0.58
-6288.0,14672.0,-923.0,-0.1,0.03,0.59
-6186.0,14617.0,-1171.0,-0.09,0.02,0.58
-6101.0,14695.0,-1301.0,-0.08,0.03,0.57
-6248.0,14629.0,-1354.0,-0.09,0.02,0.57
-6213.0,14662.0,-1377.0,-0.09,0.03,0.56
-6444.0,14528.0,-1253.0,-0.11,0.02,0.57
-6911.0,14394.0,-695.0,-0.13,0.01,0.61
-6761.0,14396.0,-645.0,-0.12,0.01,0.61
-6652.0,14449.0,-632.0,-0.12,0.01,0.61
-6599.0,14440.0,-657.0,-0.11,0.01,0.61
-6626.0,14429.0,-687.0,-0.12,0.01,0.61
-6764.0,14438.0,-743.0,-0.12,0.01,0.6
-6784.0,14413.0,-690.0,-0.13,0.01,0.61
-6778.0,14389.0,-648.0,-0.13,0.01,0.61
-6733.0,14353.0,-641.0,-0.12,0.01,0.61
-6773.0,14355.0,-657.0,-0.13,0.01,0.61
-6363.0,14660.0,-758.0,-0.1,0.03,0.6
-6968.0,14099.0,-999.0,-0.14,-0.01,0.59
-7116.0,13646.0,-1006.0,-0.15,-0.04,0.59
-6110.0,14776.0,-773.0,-0.08,0.03,0.6
-6276.0,14659.0,-909.0,-0.1,0.03,0.59
-6300.0,14655.0,-978.0,-0.1,0.03,0.59
-6435.0,14585.0,-1012.0,-0.1,0.02,0.59
-6590.0,14499.0,-966.0,-0.11,0.02,0.59
-6629.0,14426.0,-900.0,-0.12,0.01,0.59
-6631.0,14391.0,-863.0,-0.12,0.01,0.6
