acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6151.0,14686.0,-1208.0,-0.09,0.03,0.57
-5766.0,14819.0,-942.0,-0.06,0.04,0.59
-5527.0,14894.0,-791.0,-0.05,0.04,0.6
-5432.0,14935.0,-716.0,-0.04,0.04,0.6
-5346.0,14957.0,-717.0,-0.04,0.04,0.6
-5216.0,14972.0,-714.0,-0.03,0.05,0.6
-5154.0,14994.0,-704.0,-0.03,0.05,0.61
-5108.0,15015.0,-722.0,-0.02,0.05,0.6
-5113.0,15048.0,-761.0,-0.02,0.05,0.6
-5260.0,15034.0,-748.0,-0.03,0.05,0.6
-7425.0,13946.0,-2607.0,-0.17,-0.02,0.49
-7085.0,14251.0,-2008.0,-0.14,0.0,0.53
-6750.0,14406.0,-1819.0,-0.12,0.01,0.54
-6597.0,14462.0,-1506.0,-0.11,0.01,0.56
-6422.0,14553.0,-1578.0,-0.1,0.02,0.55
-6293.0,14476.0,-2034.0,-0.1,0.01,0.52
-6119.0,14720.0,-1657.0,-0.09,0.03,0.55
-6248.0,14351.0,-2250.0,-0.09,0.01,0.51
-6110.0,14614.0,-1540.0,-0.08,0.02,0.55
-6118.0,14565.0,-1327.0,-0.09,0.02,0.57
