acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-5150.0,15034.0,982.0,0.04,0.05,0.77
-4949.0,15188.0,535.0,0.06,0.06,0.75
-5181.0,15122.0,446.0,0.04,0.06,0.74
-5204.0,15101.0,414.0,0.04,0.05,0.74
-5549.0,14895.0,523.0,0.02,0.04,0.75
-5464.0,14989.0,231.0,0.02,0.05,0.73
-5625.0,14934.0,305.0,0.01,0.04,0.73
-5709.0,14883.0,389.0,0.01,0.04,0.74
-5752.0,14830.0,466.0,0.01,0.04,0.74
-5798.0,14816.0,495.0,0.0,0.04,0.74
-6483.0,14547.0,239.0,-0.04,0.02,0.73
-6379.0,14595.0,287.0,-0.03,0.02,0.73
-6193.0,14722.0,346.0,-0.02,0.03,0.73
-6275.0,14638.0,443.0,-0.03,0.03,0.74
-6033.0,14799.0,448.0,-0.01,0.04,0.74
-5929.0,14775.0,499.0,-0.0,0.03,0.74
-6336.0,14582.0,702.0,-0.03,0.02,0.76
-6292.0,14541.0,768.0,-0.03,0.02,0.76
-6136.0,14791.0,438.0,-0.02,0.03,0.74
-6053.0,14734.0,538.0,-0.01,0.03,0.75
