acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6326.0,15843.0,-1757.0,-0.03,0.1,0.61
-6121.0,16035.0,-1822.0,-0.02,0.11,0.6
-6153.0,15525.0,-1980.0,-0.02,0.08,0.59
-6153.0,15525.0,-1980.0,-0.02,0.08,0.59
-6450.0,14891.0,-1766.0,-0.04,0.04,0.61
-6157.0,14268.0,-1735.0,-0.02,0.0,0.61
-5998.0,14190.0,-971.0,-0.01,-0.0,0.65
-6273.0,14659.0,-241.0,-0.03,0.03,0.7
-6661.0,14794.0,193.0,-0.05,0.04,0.73
-6851.0,14063.0,176.0,-0.06,-0.01,0.72
-6164.0,14479.0,-1192.0,-0.02,0.02,0.64
-6067.0,14430.0,-1219.0,-0.01,0.01,0.64
-6064.0,14393.0,-1267.0,-0.01,0.01,0.64
-5877.0,14622.0,-1097.0,-0.0,0.02,0.65
-5476.0,15243.0,-937.0,0.02,0.06,0.66
-4513.0,16250.0,462.0,0.08,0.12,0.74
-4571.0,16193.0,148.0,0.08,0.12,0.72
-5730.0,15443.0,-823.0,0.01,0.07,0.66
-5391.0,14693.0,-1890.0,0.03,0.03,0.6
-6554.0,14226.0,-3207.0,-0.04,0.0,0.52
-6554.0,14226.0,-3207.0,-0.04,0.0,0.52
-6715.0,15017.0,-810.0,-0.05,0.05,0.66
-6216.0,14702.0,-917.0,-0.02,0.03,0.66
