acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-4228.0,15608.0,-450.0,0.03,0.08,0.62
-4621.0,15385.0,-1019.0,0.01,0.07,0.59
-5078.0,15145.0,-1504.0,-0.02,0.06,0.56
-4622.0,15278.0,-784.0,0.01,0.06,0.6
-4048.0,15494.0,-877.0,0.04,0.08,0.59
-4881.0,15094.0,-1645.0,-0.01,0.05,0.55
-4791.0,15290.0,-1330.0,-0.0,0.06,0.57
-4175.0,15272.0,-1323.0,0.03,0.06,0.57
-5407.0,14937.0,-2037.0,-0.04,0.04,0.52
-6153.0,14472.0,-2437.0,-0.09,0.01,0.5
-4963.0,14939.0,-1410.0,-0.01,0.04,0.56
-4976.0,15215.0,-1104.0,-0.02,0.06,0.58
-4391.0,15767.0,-461.0,0.02,0.09,0.62
-4180.0,16279.0,-28.0,0.03,0.12,0.65
-4215.0,15907.0,-22.0,0.03,0.1,0.65
-5215.0,15236.0,-756.0,-0.03,0.06,0.6
-5940.0,14562.0,-1898.0,-0.07,0.02,0.53
-6004.0,14214.0,-3996.0,-0.08,-0.0,0.4
-6045.0,14270.0,-4004.0,-0.08,0.0,0.4
-6607.0,13839.0,-4894.0,-0.12,-0.02,0.35
-5918.0,14586.0,-2810.0,-0.07,0.02,0.48
-5491.0,14760.0,-2366.0,-0.05,0.03,0.5
-5175.0,14968.0,-2011.0,-0.03,0.04,0.53
-4949.0,15046.0,-1829.0,-0.01,0.05,0.54
-4617.0,15088.0,-1649.0,0.01,0.05,0.55
-4416.0,15141.0,-1495.0,0.02,0.06,0.56
-4306.0,15146.0,-1419.0,0.03,0.06,0.56
-4330.0,15170.0,-1384.0,0.02,0.06,0.56
-4417.0,15193.0,-1411.0,0.02,0.06,0.56
-4923.0,15207.0,-1607.0,-0.01,0.06,0.55
-4131.0,15189.0,-187.0,0.04,0.06,0.64
-4757.0,14861.0,-1742.0,-0.0,0.04,0.54
-5796.0,14430.0,-3072.0,-0.07,0.01,0.46
-5258.0,14798.0,-2614.0,-0.03,0.03,0.49
-5603.0,14717.0,-2580.0,-0.05,0.03,0.49
-5770.0,14690.0,-2518.0,-0.06,0.03,0.49
-5644.0,14858.0,-2042.0,-0.06,0.04,0.52
-5373.0,14934.0,-1709.0,-0.04,0.04,0.54
-5069.0,15002.0,-1462.0,-0.02,0.05,0.56
-4790.0,15097.0,-1452.0,-0.0,0.05,0.56
-4343.0,15320.0,-1121.0,0.02,0.07,0.58
-4504.0,15335.0,-995.0,0.01,0.07,0.59
-5222.0,16539.0,-1264.0,-0.03,0.14,0.57
-5766.0,18105.0,-1393.0,-0.06,0.24,0.56
