acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-5479.0,14970.0,1404.0,-0.05,0.05,0.73
-4744.0,15261.0,760.0,-0.0,0.06,0.69
-4702.0,15168.0,638.0,0.0,0.06,0.69
-4723.0,15259.0,554.0,-0.0,0.06,0.68
-4720.0,15254.0,676.0,-0.0,0.06,0.69
-5891.0,14831.0,-384.0,-0.07,0.04,0.62
-5614.0,14866.0,-70.0,-0.05,0.04,0.64
-5657.0,14863.0,-281.0,-0.06,0.04,0.63
-6852.0,14359.0,-1418.0,-0.13,0.01,0.56
-6790.0,14425.0,-894.0,-0.13,0.01,0.59
-6943.0,14349.0,-1336.0,-0.14,0.01,0.57
-6875.0,14335.0,-1343.0,-0.13,0.01,0.57
-6850.0,14331.0,-1392.0,-0.13,0.01,0.56
-6856.0,14317.0,-1359.0,-0.13,0.01,0.57
-6854.0,14306.0,-1330.0,-0.13,0.0,0.57
-6839.0,14295.0,-1319.0,-0.13,0.0,0.57
-6861.0,14304.0,-1307.0,-0.13,0.0,0.57
-6872.0,14315.0,-1281.0,-0.13,0.01,0.57
-6871.0,14321.0,-1272.0,-0.13,0.01,0.57
-6828.0,14314.0,-1267.0,-0.13,0.0,0.57
-5909.0,14809.0,-1251.0,-0.07,0.04,0.57
-6617.0,14362.0,-1790.0,-0.12,0.01,0.54
-6644.0,14373.0,-1374.0,-0.12,0.01,0.56
-6593.0,14468.0,-985.0,-0.11,0.01,0.59
-6463.0,14538.0,-663.0,-0.11,0.02,0.61
-6270.0,14560.0,-548.0,-0.09,0.02,0.61
-6321.0,14588.0,-556.0,-0.1,0.02,0.61
-6344.0,14605.0,-517.0,-0.1,0.02,0.62
-6265.0,14591.0,-454.0,-0.09,0.02,0.62
-6234.0,14576.0,-438.0,-0.09,0.02,0.62
-6908.0,14457.0,-678.0,-0.13,0.01,0.61
-6970.0,14348.0,-700.0,-0.14,0.01,0.61
-7147.0,14333.0,-805.0,-0.15,0.01,0.6
-7361.0,14305.0,-936.0,-0.16,0.0,0.59
-7376.0,14271.0,-986.0,-0.16,0.0,0.59
-7348.0,14235.0,-994.0,-0.16,0.0,0.59
-7294.0,14219.0,-950.0,-0.16,-0.0,0.59
-7233.0,14213.0,-891.0,-0.15,-0.0,0.59
-7096.0,14205.0,-825.0,-0.15,-0.0,0.6
-7028.0,14227.0,-837.0,-0.14,-0.0,0.6
-6259.0,14546.0,276.0,-0.09,0.02,0.67
-6227.0,14588.0,207.0,-0.09,0.02,0.66
-6286.0,14614.0,134.0,-0.1,0.02,0.66
-6363.0,14609.0,168.0,-0.1,0.02,0.66
-6442.0,14628.0,244.0,-0.11,0.02,0.66
-6407.0,14610.0,289.0,-0.1,0.02,0.67
-6395.0,14617.0,301.0,-0.1,0.02,0.67
-6325.0,14606.0,306.0,-0.1,0.02,0.67
