acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-5842.0,14668.0,-135.0,-0.07,0.03,0.64
-5911.0,14642.0,-258.0,-0.07,0.03,0.63
-5891.0,14770.0,-228.0,-0.07,0.03,0.63
-5887.0,14765.0,-550.0,-0.07,0.03,0.61
-5474.0,15148.0,-11.0,-0.05,0.06,0.65
-5916.0,14903.0,-244.0,-0.07,0.04,0.63
-6107.0,15051.0,-278.0,-0.08,0.05,0.63
-6285.0,14545.0,-408.0,-0.1,0.02,0.62
-6308.0,14758.0,-384.0,-0.1,0.03,0.62
-6485.0,14761.0,-847.0,-0.11,0.03,0.6
-6919.0,14326.0,-1687.0,-0.13,0.01,0.55
-6987.0,14303.0,-1721.0,-0.14,0.0,0.54
-7091.0,14315.0,-1820.0,-0.14,0.01,0.54
-6999.0,14255.0,-1849.0,-0.14,0.0,0.54
-6972.0,14215.0,-1898.0,-0.14,-0.0,0.53
-6966.0,14246.0,-1862.0,-0.14,0.0,0.53
-6962.0,14248.0,-1827.0,-0.14,0.0,0.54
-6986.0,14212.0,-1774.0,-0.14,-0.0,0.54
-7006.0,14183.0,-1811.0,-0.14,-0.0,0.54
-7006.0,14183.0,-1811.0,-0.14,-0.0,0.54
-6167.0,14706.0,-690.0,-0.09,0.03,0.61
-6206.0,14729.0,-742.0,-0.09,0.03,0.6
-6328.0,14761.0,-833.0,-0.1,0.03,0.6
-6570.0,14929.0,-1306.0,-0.11,0.04,0.57
