acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-5583.0,14904.0,-832.0,-0.05,0.04,0.6
-5486.0,14924.0,-788.0,-0.05,0.04,0.6
-5434.0,14927.0,-740.0,-0.04,0.04,0.6
-5328.0,14946.0,-666.0,-0.04,0.04,0.61
-5228.0,14963.0,-669.0,-0.03,0.04,0.61
-5219.0,14989.0,-673.0,-0.03,0.05,0.61
-5243.0,15010.0,-680.0,-0.03,0.05,0.61
-5316.0,15039.0,-699.0,-0.04,0.05,0.61
-5423.0,14996.0,-731.0,-0.04,0.05,0.6
-6009.0,14774.0,-941.0,-0.08,0.03,0.59
-6081.0,14518.0,-1741.0,-0.08,0.02,0.54
-5936.0,14712.0,-1884.0,-0.07,0.03,0.53
-6152.0,14373.0,-2655.0,-0.09,0.01,0.49
-5989.0,14718.0,-2425.0,-0.08,0.03,0.5
-5749.0,14480.0,-2317.0,-0.06,0.02,0.51
-5801.0,15103.0,-1415.0,-0.07,0.05,0.56
-5797.0,15259.0,-548.0,-0.07,0.06,0.61
-5334.0,14748.0,-1716.0,-0.04,0.03,0.54
-5527.0,14669.0,-1286.0,-0.05,0.03,0.57
-5790.0,14983.0,55.0,-0.07,0.05,0.65
