acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-7704.0,13789.0,-3024.0,-0.18,-0.03,0.46
-8145.0,12968.0,-4366.0,-0.21,-0.08,0.38
-7542.0,14087.0,-3084.0,-0.17,-0.01,0.46
-7527.0,14184.0,-2794.0,-0.17,-0.0,0.48
-7274.0,14311.0,-1965.0,-0.16,0.0,0.53
-7238.0,14559.0,-986.0,-0.15,0.02,0.59
-7499.0,14281.0,-837.0,-0.17,0.0,0.6
-7628.0,14000.0,-1239.0,-0.18,-0.01,0.57
-7703.0,14019.0,-1414.0,-0.18,-0.01,0.56
-7711.0,13911.0,-1834.0,-0.18,-0.02,0.54
-9591.0,12805.0,-3415.0,-0.3,-0.09,0.44
-9153.0,13095.0,-3116.0,-0.27,-0.07,0.46
-8304.0,13351.0,-2673.0,-0.22,-0.05,0.49
-8082.0,13169.0,-2763.0,-0.21,-0.06,0.48
-7639.0,13327.0,-3092.0,-0.18,-0.06,0.46
-7578.0,13185.0,-3601.0,-0.17,-0.06,0.43
-7204.0,13777.0,-3372.0,-0.15,-0.03,0.44
-6323.0,14191.0,-2709.0,-0.1,-0.0,0.48
-6222.0,14878.0,-1038.0,-0.09,0.04,0.58
-6251.0,14682.0,-1312.0,-0.09,0.03,0.57
