acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6769.0,14366.0,-883.0,-0.13,0.01,0.59
-6736.0,14343.0,-765.0,-0.12,0.01,0.6
-6302.0,14430.0,-805.0,-0.1,0.01,0.6
-5982.0,14899.0,-708.0,-0.08,0.04,0.6
-6195.0,14772.0,-790.0,-0.09,0.03,0.6
-7015.0,13845.0,-1951.0,-0.14,-0.02,0.53
-6706.0,14294.0,-1210.0,-0.12,0.0,0.57
-6177.0,14705.0,-304.0,-0.09,0.03,0.63
-6105.0,14680.0,-38.0,-0.08,0.03,0.65
-6200.0,14565.0,-247.0,-0.09,0.02,0.63
-7186.0,14195.0,-917.0,-0.15,-0.0,0.59
-7139.0,14175.0,-869.0,-0.15,-0.0,0.6
-7194.0,14187.0,-877.0,-0.15,-0.0,0.59
-7299.0,14230.0,-899.0,-0.16,-0.0,0.59
-7325.0,14191.0,-908.0,-0.16,-0.0,0.59
-7300.0,14223.0,-865.0,-0.16,-0.0,0.6
-7254.0,14158.0,-827.0,-0.15,-0.0,0.6
-7106.0,14236.0,-712.0,-0.15,0.0,0.6
-7647.0,13509.0,-1925.0,-0.18,-0.04,0.53
-7271.0,14025.0,-1836.0,-0.16,-0.01,0.54
