acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6765.0,13697.0,-3725.0,-0.12,-0.03,0.42
-7011.0,14260.0,-2622.0,-0.14,0.0,0.49
-7493.0,14192.0,-2624.0,-0.17,-0.0,0.49
-7603.0,14372.0,-2819.0,-0.18,0.01,0.48
-7472.0,14709.0,-2463.0,-0.17,0.03,0.5
-8406.0,15685.0,-1398.0,-0.23,0.09,0.56
-9224.0,17776.0,-913.0,-0.27,0.22,0.59
-6481.0,15182.0,-819.0,-0.11,0.06,0.6
-5385.0,14047.0,346.0,-0.04,-0.01,0.67
-5674.0,13931.0,425.0,-0.06,-0.02,0.67
-7332.0,13988.0,-2006.0,-0.16,-0.01,0.53
-7439.0,14506.0,-2345.0,-0.17,0.02,0.51
-6620.0,15306.0,-1099.0,-0.12,0.07,0.58
-7424.0,14273.0,-2046.0,-0.17,0.0,0.52
-7607.0,13886.0,-2272.0,-0.18,-0.02,0.51
-8583.0,13031.0,-2631.0,-0.24,-0.07,0.49
-9038.0,13012.0,-2804.0,-0.26,-0.07,0.48
-8628.0,13413.0,-2509.0,-0.24,-0.05,0.5
-8072.0,13676.0,-2289.0,-0.2,-0.03,0.51
-7848.0,13717.0,-2243.0,-0.19,-0.03,0.51
