acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-7161.0,14333.0,-141.0,-0.15,0.01,0.64
-7128.0,14306.0,-545.0,-0.15,0.0,0.61
-7060.0,14205.0,-1134.0,-0.14,-0.0,0.58
-6986.0,14212.0,-1515.0,-0.14,-0.0,0.56
-6862.0,14222.0,-1628.0,-0.13,-0.0,0.55
-6835.0,14202.0,-1784.0,-0.13,-0.0,0.54
-6889.0,14221.0,-1834.0,-0.13,-0.0,0.54
-6969.0,14204.0,-1856.0,-0.14,-0.0,0.53
-6968.0,14222.0,-1857.0,-0.14,-0.0,0.53
-6941.0,14262.0,-1894.0,-0.14,0.0,0.53
-6621.0,13923.0,-2379.0,-0.12,-0.02,0.5
-6272.0,14341.0,-2108.0,-0.09,0.01,0.52
-5660.0,14841.0,-1196.0,-0.06,0.04,0.58
-5929.0,14683.0,-1075.0,-0.07,0.03,0.58
-5661.0,14753.0,-1001.0,-0.06,0.03,0.59
-6072.0,14564.0,-1380.0,-0.08,0.02,0.56
-6230.0,14578.0,-1113.0,-0.09,0.02,0.58
-6128.0,14710.0,-1016.0,-0.09,0.03,0.59
-6480.0,14525.0,-1137.0,-0.11,0.02,0.58
-6508.0,14733.0,-1152.0,-0.11,0.03,0.58
