acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-5658.0,14686.0,-335.0,0.01,0.03,0.69
-5890.0,14779.0,-550.0,-0.0,0.03,0.68
-5681.0,14877.0,-736.0,0.01,0.04,0.67
-5947.0,14711.0,-1192.0,-0.01,0.03,0.64
-5888.0,14791.0,-1060.0,-0.0,0.03,0.65
-5785.0,14900.0,-1069.0,0.0,0.04,0.65
-6378.0,14505.0,-1293.0,-0.03,0.02,0.63
-6224.0,14614.0,-1321.0,-0.02,0.02,0.63
-6380.0,14450.0,-1543.0,-0.03,0.01,0.62
-6400.0,14311.0,-1847.0,-0.03,0.01,0.6
-7061.0,14241.0,-2251.0,-0.07,0.0,0.58
-6601.0,14708.0,-1314.0,-0.05,0.03,0.63
-6655.0,14581.0,-1303.0,-0.05,0.02,0.63
-6465.0,14711.0,-630.0,-0.04,0.03,0.68
-6658.0,14500.0,-519.0,-0.05,0.02,0.68
-6885.0,14393.0,-556.0,-0.06,0.01,0.68
-7076.0,14320.0,-951.0,-0.07,0.01,0.66
-7052.0,14289.0,-1438.0,-0.07,0.0,0.63
-7224.0,14155.0,-1596.0,-0.08,-0.0,0.62
-7182.0,14096.0,-1786.0,-0.08,-0.01,0.6
-7564.0,14021.0,-1962.0,-0.1,-0.01,0.59
-7383.0,13766.0,-3020.0,-0.09,-0.03,0.53
-6542.0,13876.0,-3740.0,-0.04,-0.02,0.49
-6285.0,14054.0,-4265.0,-0.03,-0.01,0.45
-6267.0,14200.0,-3881.0,-0.02,-0.0,0.48
-6217.0,14281.0,-3287.0,-0.02,0.0,0.51
-6248.0,14326.0,-2805.0,-0.02,0.01,0.54
-6338.0,14354.0,-2600.0,-0.03,0.01,0.56
-6351.0,14388.0,-2494.0,-0.03,0.01,0.56
-6323.0,14389.0,-2492.0,-0.03,0.01,0.56
-6741.0,14450.0,-1435.0,-0.05,0.01,0.63
-6709.0,14326.0,-2176.0,-0.05,0.01,0.58
-6639.0,14418.0,-2333.0,-0.05,0.01,0.57
-6643.0,14502.0,-1834.0,-0.05,0.02,0.6
-6602.0,14643.0,-1276.0,-0.05,0.03,0.64
-6350.0,14146.0,-1921.0,-0.03,-0.0,0.6
-6495.0,14414.0,-1308.0,-0.04,0.01,0.63
-6589.0,14617.0,-1117.0,-0.04,0.02,0.65
-6457.0,14500.0,-1378.0,-0.04,0.02,0.63
-6846.0,14493.0,-895.0,-0.06,0.02,0.66
-6901.0,14238.0,-2297.0,-0.06,0.0,0.57
-6948.0,14310.0,-2431.0,-0.07,0.01,0.57
-6628.0,14373.0,-2566.0,-0.05,0.01,0.56
