acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6561.0,14372.0,-1918.0,-0.11,0.01,0.53
-6513.0,14394.0,-1773.0,-0.11,0.01,0.54
-6871.0,14083.0,-2202.0,-0.13,-0.01,0.51
-7006.0,14168.0,-1912.0,-0.14,-0.0,0.53
-6457.0,14829.0,-1288.0,-0.11,0.04,0.57
-6759.0,14473.0,-1437.0,-0.12,0.01,0.56
-6966.0,14354.0,-1488.0,-0.14,0.01,0.56
-6850.0,14451.0,-1440.0,-0.13,0.01,0.56
-7432.0,14125.0,-1881.0,-0.17,-0.01,0.53
-7402.0,14093.0,-1811.0,-0.16,-0.01,0.54
-6241.0,14600.0,-1106.0,-0.09,0.02,0.58
-6059.0,14668.0,-1298.0,-0.08,0.03,0.57
-6034.0,14691.0,-1316.0,-0.08,0.03,0.57
-6197.0,14595.0,-1515.0,-0.09,0.02,0.56
-6403.0,14393.0,-2040.0,-0.1,0.01,0.52
-6522.0,14301.0,-2058.0,-0.11,0.0,0.52
-6838.0,14228.0,-2248.0,-0.13,-0.0,0.51
-6921.0,14247.0,-2003.0,-0.13,0.0,0.53
-7054.0,14207.0,-1905.0,-0.14,-0.0,0.53
-7119.0,14177.0,-1838.0,-0.15,-0.0,0.54
